Vocab Word,Definition
insulator,material in which electrons are not able to move easily.
integrated circuit,"tiny chip of semiconductor material that can contain millions of transistors, diodes, and other components."
intensity,amount of energy that flows through a certain area in a specific amount of time.
interference,occurs when two or more waves overlap and combine to form a new wave.
internal combustion engine,heat engine that burns fuel inside the engine in chambers or cylinders.
intertidal zone,part of the shoreline that is under water at high tide and exposed to the air at low tide.
intrusive,describes a type of igneous rock that generally contains large crystals and forms when magma cools slowly beneath Earth’s surface.
invertebrate,animal without a backbone.
involuntary muscle,"muscle, such as heart muscle, that cannot be consciously controlled."
ion,electrically-charged atom whose charge results from an atom losing or gaining electrons.
ionic bond,attraction formed between oppositely charged ions in an ionic compound.
ionization,process in which electrolytes dissolve in water and separate into charged particles.
ionosphere,layer of electrically charged particles in the thermosphere that absorbs AM radio waves during the day and reflects them back at night.
isobars,lines drawn on a weather map that connect points having equal atmospheric pressure; also indicate the location of high- and low-pressure areas and can show wind speed.
isomers,compounds with identical chemical formulas but different molecular structures and shapes.
isotherm,line drawn on a weather map that connects points having equal temperature.
isotopes,atoms of the same element that have different numbers of neutrons.
jet stream,narrow belt of strong winds that blows near the top of the troposphere.
joint,any place where two or more bones come together; can be movable or immovable.
joule,SI unit of energy.
kidney,"bean-shaped urinary system organ that is made up of about 1 million nephrons and filters blood, producing urine."
kinetic energy,energy a moving object has because of its motion; depends on the mass and speed of the object.
kinetic theory,explanation of the behavior of molecules in matter; states that all matter is made of constantly moving particles that collide without losing energy.
kingdom,first and largest category used to classify organisms.
land breeze,"movement of air from land to sea at night, created when cooler, denser air from the land forces up warmer air over the sea."
larynx,airway to which the vocal cords are attached.
latitude,distance in degrees north or south of the equator.
lava,molten rock that flows from volcanoes onto Earth’s surface.
law of conservation of charge,states that charge can be transferred from one object to another but cannot be created or destroyed.
law of conservation of energy,states that energy can never be created or destroyed.
law of conservation of mass,states that the mass of all substances present before a chemical change equals the mass of all the substances remaining after the change.
law,statement about how things work in nature that seems to be true consistently.
leaching,removal of minerals that have been dissolved in water.
lever,simple machine consisting of a bar free to pivot about a fixed point called the fulcrum.
lichen,organism made up of a fungus and a green alga or a cyanobacterium.
ligament,tough band of tissue that holds bones together at joints.
light-year,unit representing the distance light travels in one year—about 9.5 trillion km—used to record distances between stars and galaxies.
limiting factor,"anything that can restrict the size of a population, including living and nonliving features of an ecosystem, such as predators or drought."
lipids,"group of biological compounds that contains the same elements as carbohydrates but in different arrangements and combinations, and includes saturated and unsaturated fats and oils."
liquefaction,occurs when wet soil acts more like a liquid during an earthquake.
lithosphere,"rigid layer of Earth about 100 km thick, made of the crust and a part of the upper mantle."
litter,"twigs, leaves, and other organic matter that help prevent erosion and hold water and may eventually be changed into humus by decomposing organisms."
loess,"windblown deposit of tightly packed, fine-grained sediments."
long-day plant,plant that generally requires short nights—less than ten to 12 hours of darkness—to begin the flowering process.
longitude,distance in degrees east or west of the prime meridian.
longshore current,"current that runs parallel to the shoreline, is caused by waves colliding with the shore at slight angles, and moves tons of loose sediment."
lunar eclipse,occurs when Earth’s shadow falls on the Moon.
luster,property of metals and alloys that describes having a shiny appearance or reflecting light.
lymph,tissue fluid that has diffused into lymphatic capillaries.
lymph nodes,bean-shaped organs found throughout the body that filter out microorganisms and foreign materials taken up by the lymphocytes.
lymphatic system,"carries lymph through a network of lymph capillaries and vessels, and drains it into large veins near the heart; helps fight infections and diseases."
lymphocyte,a type of white blood cell that fights infection.
magma,"hot, melted rock material beneath Earth’s surface."
magnetic domain,group of atoms in a magnetic material with the magnetic poles of the atoms pointing in the same direction.
magnetic field,surrounds a magnet and exerts a force on other magnets and objects made of magnetic materials.
magnetic pole,region on a magnet where the magnetic force exerted by a magnet is strongest; like poles repel and opposite poles attract.
magnetism,the properties and interactions of magnets.
magnitude,measure of the energy released during an earthquake.
malleability,ability of metals and alloys to be rolled or hammered into thin sheets.
mammals,"endothermic vertebrates that have hair, teeth specialized for eating certain foods, and mammary glands; in females, mammary glands produce milk for feeding their young."
mammary glands,"glands of mammals; in females, produce milk to feed their young."
mantle,thin layer of tissue that covers a mollusk’s body organs; secretes the shell or protects the body of mollusks without shells.
map legend,explains the meaning of symbols used on a map.
map scale,relationship between distances on a map and distances on Earth’s surface that can be represented as a ratio or as a small bar divided into sections.
maria,"dark-colored, relatively flat regions of the Moon formed when ancient lava reached the surface and filled craters on the Moon’s surface."
marsupial,a mammal with an external pouch for the development of its immature young.
mass movement,any type of erosion that occurs as gravity moves materials down-slope.
mass number,the number of protons plus the number of neutrons in an atom.
mass,amount of matter in an object.
matter,anything that has mass and takes up space.
meander,"broad, c-shaped curve in a river or stream, formed by ero sion of its outer bank."
mechanical advantage (MA),ratio of the output force exerted by a machine to the input force applied to the machine.
mechanical digestion,"breakdown of food through chewing, mixing, and churning."
mechanical energy,sum of the potential energy and kinetic energy in a system.
mechanical weathering,"physical processes that break rock apart without changing its chemical makeup; can be caused by ice wedging, animals, and plant roots."
medium,matter in which a wave travels.
medusa,cnidarian body type that is bell-shaped and free-swimming.
meiosis,reproductive process that produces four haploid sex cells from one diploid cell and ensures offspring will have the same number of chromosomes as the parent organisms.
melanin,pigment produced by the epidermis that protects skin from sun damage and gives skin and eyes their color.
melting point,temperature at which a solid begins to liquefy.
menstrual cycle,hormone-controlled monthly cycle of changes in the female reproductive system that includes the maturation of an egg and preparation of the uterus for possible pregnancy.
menstruation,monthly flow of blood and tissue cells that occurs when the lining of the uterus breaks down and is shed.
Mesozoic Era,"middle era of Earth’s history, during which Pangaea broke apart, dinosaurs appeared, and reptiles and gymnosperms were the dominant land life-forms."
metabolism,the total of all chemical reactions in an organism.
metal,"element that typically is a hard, shiny solid, is malleable, and is a good conductor of heat and electricity."
metallic bonding,occurs because electrons move freely among a metal’s positively charged ions and explains properties such as ductility and the ability to conduct electricity.
metalloid,element that shares some properties with metals and some with nonmetals.
metamorphic rock,"forms when heat, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock to change its form or composition, or both."
metamorphosis,"process in which many insect species change their body form to become adults; can be complete (egg, larva, pupa, adult) or incomplete (egg, nymph, adult)."
meteor,a meteoroid that burns up in Earth’s atmosphere.
meteorite,a meteoroid that strikes the surface of a moon or planet.
microscope,"uses convex lenses to magnify small, close objects."
microwaves,radio waves with wavelengths of between about 1 m and 1 mm.
mid-ocean ridge,area where new ocean floor is formed when lava erupts through cracks in Earth’s crust.
migration,instinctive seasonal movement of animals to find food or to reproduce in better conditions.
mineral resources,resources from which metals are obtained.
mineral,naturally occurring inorganic solid that has a definite chemical composition and an orderly internal atomic structure.
mirage,image of a distant object produced by the refraction of light through air layers of different densities.
mitochondrion,cell organelle that breaks down food and releases energy.
mitosis,"cell process in which the nucleus divides to form two nuclei identical to each other, and identical to the original nucleus, in a series of steps (prophase, metaphase, anaphase, and telophase)."
mixture,"a combination of substances in which the individual substances do not change or combine chemically but instead retain their own individual properties; can be gases, solids, liquids, or any combination of them."
mold,"a type of body fossil that forms in rock when an organism with hard parts is buried, decays or dissolves, and leaves a cavity in the rock."
molecule,a group of atoms connected by covalent bonds.
molting,shedding and replacing of an arthropod’s exoskeleton.
momentum,property of a moving object that equals its mass times its velocity.
monocot,"angiosperm with one cotyledon inside its seed, flower parts in multiples of three, and vascular tissues in bundles scattered throughout the stem."
monomer,small molecule that forms a link in a polymer chain and can be made to combine with itself repeatedly.
monotreme,"a mammal that lays eggs with tough, leathery shells and whose mammary glands do not have nipples."
moon phase,"change in appearance of the Moon as viewed from the Earth, due to the relative positions of the Moon, Earth, and Sun."
moraine,large ridge of rocks and soil deposited by a glacier when it stops moving forward.
muscle,"organ that can relax, contract, and provide the force to move bones and body parts."
mutation,"any permanent change in a gene or chromosome of a cell; may be beneficial, harmful, or have little effect on an organism."
mutualism,a type of symbiotic relationship in which both organisms benefit.
mycorrhizae,network of hyphae and plant roots that helps plants absorb water and minerals from soil.
natural gas,fossil fuel formed from marine organisms that is often found in tilted or folded rock layers and is used for heating and cooking.
natural resources,parts of Earth’s environ ment that supply materials useful or necessary for the survival of living organisms.
natural selection,process by which organisms that are suited to a particular environment are better able to survive and reproduce than organisms that are not.
nebula,"large cloud of gas and dust that contracts under gravitational force and breaks apart into smaller pieces, each of which might collapse to form a star."
nekton,marine organisms that actively swim in the ocean.
nephron,tiny filtering unit of the kidney.
nerve cord,tubelike structure above the notochord that in most chordates develops into the brain and spinal cord.
net force,sum of the forces that are acting on an object.
neuron,"basic functioning unit of the nervous system, made up of a cell body, dendrites, and axons."
neutralization,"chemical reaction that occurs when the+-
 H3O ions from an acid react with the OH ions from a base to produce water molecules."
neutron star,collapsed core of a supernova that can shrink to about 20 km in diameter and contains only neutrons in the dense core.
neutron,particle without an electrical charge.
new moon,"moon phase that occurs when the Moon is between Earth and the Sun, at which point the Moon cannot be seen because its lighted half is facing the Sun and its dark side faces Earth."
Newton’s second law of motion,"states that the acceleration of an object is in the same direction as the net force on the object, and that the acceleration equals the net force divided by the mass."
Newton’s third law of motion,"states that when one object exerts a force on a second object, the second object exerts a force on the first object that is equal in strength and in the opposite direction."
niche,"in an ecosystem, refers to the unique ways an organism survives, obtains food and shelter, and avoids danger."
nitrogen cycle,"model describing how nitrogen moves from the atmosphere to the soil, to living organisms, and then back to the atmosphere."
nitrogen fixation,process in which some types of bacteria in the soil change nitrogen gas into a form of nitrogen that plants can use.
nitrogen-fixing bacteria,bacteria that convert nitrogen in the air into forms that can be used by plants and animals.
nonelectrolyte,substance that does not ionize in water and cannot conduct electricity.
nonfoliated,"describes metamorphic rock, such as quartzite or marble, whose mineral grains grow and rearrange but generally do not form layers."
noninfectious disease,"disease, such as cancer, diabetes, or asthma, that is not spread from one person to another."
nonmetal,"element that usually is a gas or brittle solid at room temperature, is not malleable or ductile, is a poor conductor of heat and electricity, and typically is not shiny."
nonpoint source pollution,pollution that enters water from a large area and cannot be traced to a single location.
nonpolar molecule,molecule that shares electrons equally and does not have oppositely charged ends.
nonpolar,not having separated positive and negative areas; nonpolar materials do not attract water molecules and do not dissolve easily in water.
nonrenewable resources,"natural resource, such as fossil fuels, that cannot be replaced by natural processes as quickly as it is used."
nonvascular plant,plant that absorbs water and other substances directly through its cell walls instead of through tubelike structures.
normal fault,"break in rock caused by tension forces, where rock above the fault surface moves down relative to the rock below the fault surface."
no-till farming,method for reducing soil erosion; plant stalks are left in the field after harvesting and the next year’s crop is planted within the stalks without plowing.
notochord,firm but flexible structure that extends along the upper part of a chordate’s body.
nuclear energy,energy produced from the splitting apart of billions of uranium nuclei by a nuclear fission reaction.
nuclear fission,process of splitting an atomic nucleus into two or more nuclei with smaller masses.
nuclear fusion,reaction in which two or more atomic nuclei form a nucleus with a larger mass.
nuclear reactor,uses energy from a controlled nuclear chain reaction to generate electricity.
nuclear waste,radioactive by-product that results when radioactive materials are used.
nucleic acids,essential organic polymers that control the activities and reproduction of cells.
nucleotides,"complex, organic molecules that make up RNA and DNA; contain an organic base, a phosphoric acid unit, and a sugar."
nucleus,organelle that controls all the activities of a cell and contains hereditary material made of proteins and DNA; positively charged center of an atom that contains protons and neutrons and is surrounded by a cloud of electrons.
nutrients,"substances in foods—proteins, carbohydrates, fats, vitamins, minerals, and water—that provide energy and materials for cell development, growth, and repair."
Ohm’s law,states that the current in a circuit equals the voltage difference divided by the resistance.
oil,liquid fossil fuel formed from marine organisms that is burned to obtain energy and used in the manufacture of plastics.
olfactory cell,nasal nerve cell that becomes stimulated by molecules in the air and sends impulses to the brain for interpretation of odors.
omnivore,"animal that eats plants and animals or animal flesh; mammals with incisors, canine teeth, and flat molars for eating plants and other animals."
opaque,material that absorbs or reflects all light and does not transmit any light.
open circulatory system,blood circulation system in which blood moves through vessels and into open spaces around the body organs.
optical axis,imaginary straight line that is perpendicular to the center of a concave mirror or convex lens.
orbit,curved path followed by a satellite as it revolves around an object.
ore,deposit in which a mineral exists in large enough amounts to be mined at a profit.
organ,"structure, such as the heart, made up of different types of tissues that all work together."
organelle,"structure in the cytoplasm of a eukaryotic cell that can act as a storage site, process energy, move materials, or manufacture substances."
organic compounds,large number of compounds containing the element carbon.
organic evolution,change of organisms over geologic time.
organism,any living thing.
osmosis,a type of passive transport that occurs when water diffuses through a cell membrane.
outwash,material deposited by meltwater from a glacier.
ovary,"in plants, swollen base of an angiosperm’s pistil, where egg-producing ovules are found; in humans, female reproductive organ that produces eggs and is located in the lower part of the body."
overtone,vibration whose frequency is a multiple of the fundamental frequency.
ovulation,"monthly process in which an egg is released from an ovary and enters the oviduct, where it can become fertilized by sperm."
ovule,"in seed plants, the female reproductive part that produces eggs."
oxidation,chemical weathering process that occurs when some minerals are exposed to oxygen and water over time.
oxidation number,"positive or negative number that indicates how many electrons an atom has gained, lost, or shared to become stable."
ozone depletion,"thinning of Earth’s ozone layer caused by chlorofluorocarbons (CFCs) leaking into the air and reacting chemically with ozone, breaking the ozone molecules apart."
ozone layer,layer of the stratosphere with a high concentration of ozone; absorbs most of the Sun’s harmful ultraviolet radiation.
Paleozoic Era,"era of ancient life, which began about 544 million years ago, when organisms developed hard parts, and ended with mass extinctions about 245 million years ago."
Pangaea,large ancient landmass that was composed of all the continents joined together.
parallel circuit,circuit in which electric current has more than one path to follow.
parasitism,a type of symbiotic relationship in which one organism benefits and the other organism is harmed.
particulate matter,"fine solids such as pollen, dust, mold, ash, and soot as well as liquid droplets in the air that can irritate and damage lungs when breathed in."
pascal,SI unit of pressure.
passive immunity,immunity that results when antibodies produced in one animal are introduced into another’s body; does not last as long as active immunity.
passive transport,"movement of substances through a cell membrane without the use of cellular energy; includes diffusion, osmosis, and facilitated diffusion."
pathogen,disease-producing organism.
period,third-longest division of geologic time; is subdivided into epochs and is characterized by the types of life that existed worldwide.
periodic table,organized list of all known elements that are arranged by increasing atomic number and by changes in chemical and physical properties.
periosteum,"tough, tight-fitting membrane that covers a bone’s surface and contains blood vessels that transport nutrients into the bone."
peripheral nervous system,"division of the nervous system, made up of all the nerves outside the CNS; connects the brain and spinal cord to other body parts."
peristalsis,waves of muscular contractions that move food through the digestive tract.
permeable,describes soil and rock with connecting pores through which water can flow.
permineralized,fossils in which the spaces inside are
remains,filled with minerals from groundwater.
pesticide,substance used to keep insects and weeds from destroying crops and lawns.
petroleum,liquid fossil fuel formed from decayed remains of ancient organisms; can be refined into fuels and used to make plastics.
pH,"a measure of the concentration of hydronium ions in a solution using a scale ranging from 0 to 14, with 0 being the most acidic and 14 being the most basic."
pharyngeal pouches,"in developing chordates, the paired openings found in the area between the mouth and digestive tube."
pharynx,"tubelike passageway for food, liquid, and air."
phenotype,outward physical appearance and behavior of an organism as a result of its genotype.
pheromone,powerful chemical produced by an animal to influence the behavior of another animal of the same species.
phloem,vascular tissue that forms tubes that transport dissolved sugar throughout a plant.
photochemical smog,"hazy, yellow-brown blanket of smog found over cities that is formed with the help of sunlight, contains ozone near Earth’s surface, and can damage lungs and plants."
photon,particle that electromagnetic waves sometimes behave like; has energy that increases as the frequency of the electromagnetic wave increases.
photoperiodism,a plant’s response to the lengths of daylight and darkness each day.
photosphere,"lowest layer of the Sun’s atmosphere; gives off light and has temperatures of about 6,000 K."
photosynthesis,process by which plants and many other producers use light energy to produce a simple sugar from carbon dioxide and water and give off oxygen.
photovoltaic cell,device that converts solar energy into electricity; also called a solar cell.
phylogeny,evolutionary history of an organism; used today to group organisms into six kingdoms.
physical change,"any change in size, shape, or state of matter in which the identity of the substance remains the same."
physical property,"any characteristic of a material, such as size or shape, that you can observe or attempt to observe without changing the identity of the material."
pigment,colored material that is used to change the color of other substances.
pioneer species,species that break down rock and build up decaying plant material so that other plants can grow; first organisms to grow in new or disturbed areas.
pistil,"female reproductive organ inside the flower of an angiosperm; consists of a sticky stigma, where pollen grains land, and an ovary."
pitch,how high or low a sound seems; related to the frequency of the sound waves.
placenta,an organ that develops from tissues of the embryo and tissues that line the inside of the uterus and that absorbs oxygen and food from the mother’s blood.
placental,a mammal whose offspring develop inside the female’s uterus.
plain,"large, flat landform that often has thick, fertile soil and is usually found in the interior region of a continent."
plane mirror,"flat, smooth mirror that reflects light to form upright, virtual images."
plankton,marine organisms that drift in ocean currents.
plasma,"liquid part of blood, made mostly of water, in which oxygen, nutrients, and minerals are dissolved; matter consisting of positively and negatively charged particles."
plate tectonics,theory that Earth’s crust and upper mantle are broken into plates that float and move around on a plasticlike layer of the mantle.
plate,a large section of Earth’s oceanic or continental crust and rigid upper mantle that moves around on the asthenosphere.
plateau,"flat, raised landform made up of nearly horizontal rocks that have been uplifted."
platelet,"irregularly shaped cell fragment that helps clot blood and releases chemicals, that help form fibrin."
plucking,"process that adds gravel, sand, and boulders to a glacier’s bottom and sides as water freezes and thaws, breaking off pieces of surrounding rock."
point source pollution,pollution that enters water from a specific location and can be controlled or treated before it enters a body of water.
polar molecule,molecule with a slightly positive end and a slightly negative end as a result of electrons being shared unequally.
polar zones,"climate zones that receive solar radiation at a low angle, extend from 66°N and S latitude to the poles, and are never warm."
polar,having separated positive and negative areas; polar materials attract water molecules and dissolve easily in water.
polarized light,light whose waves vibrate in only one direction.
pollen grain,"small structure produced by the male reproductive organs of a seed plant; has a water-resistant coat, can develop from a spore, and contains gametophyte parts that will produce sperm."
pollination,"transfer of pollen grains to the female part of a seed plant by agents such as gravity, water, wind, and animals."
pollutant,substance that contaminates any part of the environment.
pollution,"introduction of wastes to an environment, such as sewage and chemicals, that can damage organisms."
polyatomic ion,"positively or negatively charged, covalently bonded group of atoms."
polyethylene,polymer formed from a chain containing many ethylene units; often used in plastic bags and plastic bottles.
polygenic inheritance,"occurs when a group of gene pairs acts together and produces a specific trait, such as human eye color, skin color, or height."
polymer,"class of natural or synthetic substances made up of many smaller, simpler molecules, called monomers, arranged in large chains."
polyp,cnidarian body type that is vase-shaped and is usually sessile.
population,total number of individuals of one species occupying the same area.
postanal tail,muscular structure at the end of a developing chordate.
potential energy,stored energy an object has due to its position.
power,"amount of work done, or the amount of energy transferred, divided by the time required to do the work or transfer the energy; measured in watts (W)."
Precambrian time,"longest part of Earth’s history, lasting from 4.0 billion to about 544 million years ago."
precipitate,insoluble compound that comes out of solution during a double-displacement reaction.
precipitation,"water falling from clouds—including rain, snow, sleet, and hail—whose form is determined by air temperature."
preening,process in which a bird rubs oil from an oil gland over its feathers to condition them.
pregnancy,period of development—usually about 38 or 39 weeks in female humans—from fertilized egg until birth.
pressure,amount of force exerted per unit area; SI unit is the pascal (Pa).
primary wave,seismic wave that moves rock particles back-and-forth in the same direction that the wave travels.
primates,"group of mammals including humans, monkeys, and apes that share characteristics such as opposable thumbs, binocular vision, and flexible shoulders."
prime meridian,"imaginary line that represents 0° longitude and runs from the north pole through Greenwich, England, to the south pole."
principle of superposition,"states that in undisturbed rock layers, the oldest rocks are on the bottom and the rocks become progressively younger toward the top."
producer,"organism, such as a green plant or alga, that uses an outside source of energy like the Sun to create energy-rich food molecules."
product,"in a chemical reaction, the new substance that is formed."
protein,"large molecule that contains carbon, hydrogen, oxygen, nitrogen, and sometimes sulfur and is made up of amino acids; used by the body for growth and for replacement and repair of body cells."
proteins,"large, complex, biological polymers formed from amino acid units; make up many body tissues such as muscles, tendons, hair, and fingernails."
prothallus,"small, green, heart-shaped gametophyte plant form of a fern that can make its own food and absorb water and nutrients from the soil."
protist,"one- or many-celled eukaryotic organism that can be plantlike, animal-like, or funguslike."
proton,particle inside the nucleus of an atom that has a charge of 1+.
protozoan,"one-celled, animal-like protist that can live in water, soil, and living and dead organisms."
pseudopods,temporary cytoplasmic extensions used by some protists to move about and trap food.
pulley,"simple machine that consists of a grooved wheel with a rope, chain, or cable running along the groove; can be either fixed or movable."
pulmonary circulation,flow of blood through the heart to the lungs and back to the heart.
punctuated equilibrium,model describing the rapid evolution that occurs when mutation of a few genes results in a species suddenly changing into a new species.
Punnett square,a tool to predict the probability of certain traits in offspring that shows the different ways alleles can combine.
quarks,particles of matter that make up protons and neutrons.
radial symmetry,body parts arranged in a circle around a central point.
radiant energy,energy carried by an electromagnetic wave.
radiation,energy transferred by waves or rays.
radio telescope,collects and records radio waves traveling through space; can be used day or night under most weather conditions.
radio waves,"electromagnetic waves with wavelengths longer than about 1 mm, used for communications."
radioactive decay,process in which some isotopes break down into other isotopes and particles.
radioactive element,element that gives off a steady amount of radiation as it slowly changes to a nonradioactive element.
radioactivity,"process that occurs when a nucleus decays and emits alpha, beta, or gamma radiation."
radiometric dating,process used to calculate the absolute age of rock by measuring the ratio of parent isotope to daughter product in a mineral and knowing the half-life of the parent.
radula,"in gastropods, the tonguelike organ with rows of teeth used to scrape and tear food."
rarefaction,the least dense regions of a compressional wave.
reactant,"in a chemical reaction, the substance that reacts."
real image,an image formed by light rays that converge to pass through the place where the image is located.
recessive,"describes a trait that is covered over, or dominated, by another form of that trait and seems to disappear."
reduction,the gain of electrons by the atoms of a substance.
reef,"rigid, wave-resistant, ocean margin habitat built by corals from skeletal materials and calcium."
reflecting telescope,optical telescope that uses a concave mirror to focus light and form an image at the focal point.
reflex,"simple innate behavior, such as yawning or blinking, that is an automatic response and does not involve a message to the brain; automatic, involuntary response to a stimulus; controlled by the spinal cord."
refracting telescope,uses two convex lenses to gather and focus light from distant objects.
refraction,the bending of a wave as it changes speed in moving from one medium to another.
relative age,the age of something compared with other things.
relative humidity,measure of the amount of moisture held in the air compared with the amount it can hold at a given temperature; can range from 0 percent to 100 percent.
renewable resources,"natural resources, such as water, sunlight, and crops, that are constantly being recycled or replaced by nature."
reserve,amount of a fossil fuel that can be extracted from Earth at a profit using current technology.
resistance,tendency for a material to oppose electron flow and change electrical energy into thermal energy and light; measured in ohms (V).
resonance,the process by which an object is made to vibrate by absorbing energy at its natural frequencies.
resonator,"hollow, air-filled chamber that amplifies sound when the air inside it vibrates."
respiration,process by which producers and consumers release stored energy from food molecules; series of chemical reactions used to release energy stored in food molecules.
retina,light-sensitive tissue at the back of the eye; contains rods and cones.
reverse fault,"break in rock caused by compressive forces, where rock above the fault surface moves upward relative to the rock below the fault surface."
revolution,Earth’s yearlong elliptical orbit around the Sun.
rhizoids,threadlike structures that anchor nonvascular plants to the ground.
rhizome,underground stem.
ribosome,small cytoplasmic structure on which cells make their own proteins.
RNA,ribonucleic acid; a type of nucleic acid that carries codes for making proteins from the nucleus to the ribosomes.
rock cycle,model that describes how rocks slowly change from one form to another through time.
rock,"mixture of one or more minerals, rock fragments, volcanic glass, organic matter, or other natural materials; can be igneous, metamorphic, or sedimentary."
rocket,special engine that can work in space and burns liquid or solid fuel.
rotation,"spinning of Earth on its imaginary axis, which takes about 24 hours to complete and causes day and night to occur."
runoff,any rainwater that does not soak into the ground or evaporate but flows over Earth’s surface; generally flows into streams and has the ability to erode and carry sediments.
salinity,a measure of the amount of salts dissolved in seawater.
salt,compound formed when negative ions from an acid combine with positive ions from a base.
saprophyte,organism that uses dead organisms as a food source and helps recycle nutrients so they are available for use by other organisms.
satellite,any natural or artificial object that revolves around another object.
saturated hydrocarbon,"compound, such as propane or methane, that contains only single bonds between carbon atoms."
saturated solution,any solution that contains all the solute it can hold at a given temperature.
scales,"thin, hard plates that cover a fish’s skin and protect its body."
science,process of looking at and studying things in the world in order to gain knowledge.
scientific method,"organized set of investigation procedures that can include stating a problem, forming a hypothesis, researching and gathering information, testing a hypothesis, analyzing data, and drawing conclusions."
screw,simple machine that consists of an inclined plane wrapped in a spiral around a cylindrical post.
scrubber,device that lowers sulfur emissions from coal-burning power plants.
sea breeze,"movement of air from sea to land during the day when cooler air from above the water moves over the land, forcing the heated, less dense air above the land to rise."
seafloor spreading,Hess’s theory that new seafloor is formed when magma is forced upward toward the surface at a mid-ocean ridge.
season,short period of climate change in an area caused by the tilt of Earth’s axis as Earth revolves around the Sun.
second law of thermodynamics,states that is impossible for heat to flow from a cool object to a warmer object unless work is done.
secondary wave,seismic wave that moves rock particles at right angles to the direction of the wave.
sedimentary rock,"a type of rock, such as limestone, that is most likely to contain fossils and is formed when layers of sand, silt, clay, or mud are cemented and compacted together or when minerals are deposited from a solution."
sediments,"loose materials, such as rock fragments, mineral grains, and the remains of once- living plants and animals, that have been moved by wind, water, ice, or gravity."
seismic wave,wave generated by an earthquake.
seismograph,instrument used to register earthquake waves and record the time that each arrived.
semen,mixture of sperm and a fluid that helps sperm move and supplies them with an energy source.
semiconductor,materials having conductivity properties between that of metals (good conductors) and nonmetals (insulators) and having controllable conductivity parameters.
series circuit,circuit in which electric current has only one path to follow.
sessile,describes an organism that remains attached to one place during most of its lifetime.
setae,bristlelike structures on the outside of each body segment that helps segmented worms move.
sewage,"water that goes into drains and contains human waste, household detergents, and soaps."
sex-linked gene,an allele inherited on a sex chromosome and that can cause human genetic disorders such as color blindness and hemophilia.
sexual reproduction,"a type of reproduction in which two sex cells, usually an egg and a sperm, join to form a zygote, which will develop into a new organism with a unique identity."
sexually transmitted disease (STD),"infectious disease, such as chlamydia, AIDS, or genital herpes, that is passed from one person to another during sexual contact."
sheet erosion,a type of surface water erosion caused by runoff that occurs when water flowing as sheets picks up sediments and carries them away.
shield volcano,"broad, gently sloping volcano formed by quiet eruptions of basaltic lava."
short-day plant,plant that generally requires long nights—12 or more hours of darkness—to begin the flowering process.
SI,"International System of Units—the improved, universally accepted version of the metric system that is based on multiples of ten and includes the meter (m), liter (L), and kilogram (kg)."
silicate,describes a mineral that contains silicon and oxygen and usually one or more other elements.
sill,igneous rock feature formed when magma is squeezed into a horizontal crack between layers of rock and hardens underground.
simple machine,"machine that does work with only one movement—lever, pulley, wheel and axle, inclined plane, screw, and wedge."
single-displacement reaction,chemical reaction in which one element replaces another element in a compound.
skeletal muscle,"voluntary, striated muscle that moves bones, works in pairs, and is attached to bones by tendons."
skeletal system,"all the bones in the body; forms an internal, living framework that provides shape and support, protects internal organs, moves bones, forms blood cells, and stores calcium and phosphorus compounds for later use."
sliding friction,frictional force that opposes the motion of two surfaces sliding past each other.
slump,a type of mass movement that occurs when a mass of material moves down a curved slope.
smooth muscle,"involuntary, nonstriated muscle that controls movement of internal organs."
soaps,"organic salts with nonpolar, hydrocarbon ends that interact with oils and dirt and polar ends that helps them dissolve in water."
social behavior,"interactions among members of the same species, including courtship and mating, getting food, caring for young, and protecting each other."
society,"a group of animals of the same species that live and work together in an organized way, with each member doing a specific job."
soil profile,"vertical section of soil layers, each of which is a horizon."
soil,"mixture of mineral and rock particles, the remains of dead organisms, air, and water that forms the topmost layer of Earth’s crust and supports plant growth."
solar collector,device used in an active solar heating system that absorbs radiant energy from the Sun.
solar eclipse,occurs when the Moon passes directly between the Sun and Earth and casts a shadow over part of Earth.
solar energy,"energy from the Sun that is clean, inexhaustible, and can be transformed into electricity by solar cells."
solar system,"system of nine planets, including Earth, and other objects that revolve around the Sun."
solenoid,a wire wrapped into a cylindrical coil.
solstice,twice-yearly point at which the Sun reaches its greatest distance north or south of the equator.
solubility,maximum amount of a solute that can be dissolved in a given amount of solvent at a given temperature.
solute,"in a solution, the substance being dissolved."
solution,a mixture which is evenly mixed throughout; also known as a homogeneous mixture.
solvent,"in a solution, the substance in which the solute is dissolved."
sonar,system that uses the reflection of sound waves to detect objects underwater.
sori,fern structures in which spores are produced.
sound quality,difference between sounds having the same pitch and loudness.
space probe,instrument that travels far into the solar system and gathers data that it sends them back to Earth.
space shuttle,"reusable spacecraft that can carry cargo, astronauts, and satellites to and from space."
space station,"large facility with living quarters, work and exercise areas, and equipment and support systems for humans to live and work in space and conduct research."
species,group of organisms that reproduces only with other members of their own group.
specific gravity,ratio of a mineral’s weight compared with the weight of an equal volume of water.
specific heat,amount of thermal energy needed to raise the temperature of 1 kg of a material 1°C.
speed,distance an object travels per unit of time.
sperm,"haploid sex cell formed in the male reproductive organs; in humans, male reproductive cells produced in the testes."
